 |                   fit_name |       quality |   chisq/nDoF                 |
*|      c_Dt24_5-24_Dt32_5-25 |       0.58815 |   57.81/(  35 -  1) =   1.70 | F=1.94(562)*10^-3
*|     c2_Dt24_5-24_Dt32_3-26 |       0.58483 |   46.17/(  36 -  9) =   1.71 | F=-2.06(59)*10^-2; Ff_Dt24=3.92(20)*10^1; Ef_Dt24=9.455(1501); Fi_Dt24=-6.298(1994); Ei_Dt24=1.933(215); Ff_Dt32=4.37(20)*10^1; Ef_Dt32=9.429(1324); Fi_Dt32=1.26(0)*10^3; Ei_Dt32=8.319(1988)
*|   csnk_Dt24_5-24_Dt32_3-27 |       0.58267 |   54.92/(  37 -  5) =   1.72 | F=-3.08(46)*10^-2; Ff_Dt24=2.61(1972)*10^1; Ef_Dt24=9.062(6794); Ff_Dt32=2.61(1972)*10^1; Ef_Dt32=9.062(6794)
*|      c_Dt24_5-24_Dt32_3-25 |       0.57315 |   61.07/(  36 -  1) =   1.74 | F=-7.52(472)*10^-3
*|     c2_Dt24_5-24_Dt32_1-30 |       0.55993 |   57.15/(  41 -  9) =   1.79 | F=-2.47(51)*10^-2; Ff_Dt24=3.19(1886)*10^1; Ef_Dt24=9.151(5262); Fi_Dt24=-0.354(145); Ei_Dt24=1.060(195); Ff_Dt32=3.19(1886)*10^1; Ef_Dt32=9.151(5263); Fi_Dt32=3.65(154)*10^2; Ei_Dt32=4.874(213)
*|      c_Dt24_5-24_Dt32_3-27 |       0.55048 |   65.40/(  37 -  1) =   1.82 | F=-2.84(45)*10^-2
*|   csnk_Dt24_5-24_Dt32_3-30 |       0.54972 |   61.85/(  39 -  5) =   1.82 | F=-3.21(45)*10^-2; Ff_Dt24=3.40(3033)*10^1; Ef_Dt24=9.454(7655); Ff_Dt32=3.40(3034)*10^1; Ef_Dt32=9.454(7656)
*|     c2_Dt24_5-24_Dt32_1-31 |       0.54801 |   58.39/(  41 -  9) =   1.82 | F=-1.92(46)*10^-2; Ff_Dt24=8.67(6378)*10^1; Ef_Dt24=1.01(64)*10^1; Fi_Dt24=-0.255(106); Ei_Dt24=0.865(207); Ff_Dt32=8.67(6379)*10^1; Ef_Dt32=1.01(64)*10^1; Fi_Dt32=3.29(177)*10^2; Ei_Dt32=4.874(273)
*|     c2_Dt24_5-24_Dt32_2-27 |       0.54781 |   52.94/(  38 -  9) =   1.83 | F=-2.51(58)*10^-2; Ff_Dt24=5.54(3815)*10^1; Ef_Dt24=9.666(5965); Fi_Dt24=-0.515(888); Ei_Dt24=1.205(509); Ff_Dt32=5.52(3848)*10^1; Ef_Dt32=9.674(6036); Fi_Dt32=2.26(4628)*10^2; Ei_Dt32=4.298(5060)
*|     c2_Dt24_5-24_Dt32_1-27 |       0.54592 |   54.95/(  39 -  9) =   1.83 | F=-2.37(47)*10^-2; Ff_Dt24=4.94(2510)*10^1; Ef_Dt24=9.454(4647); Fi_Dt24=-0.536(207); Ei_Dt24=1.257(172); Ff_Dt32=4.94(2510)*10^1; Ef_Dt32=9.454(4647); Fi_Dt32=4.16(151)*10^2; Ei_Dt32=4.852(184)
*|      c_Dt24_5-24_Dt32_9-30 |       0.54448 |   62.44/(  35 -  1) =   1.84 | F=-1.75(54)*10^-2
*|      c_Dt24_5-24_Dt32_3-30 |       0.54434 |   69.81/(  39 -  1) =   1.84 | F=-3.01(45)*10^-2
*|     c2_Dt24_5-24_Dt32_2-31 |       0.54381 |   58.84/(  41 -  9) =   1.84 | F=-1.93(48)*10^-2; Ff_Dt24=4.30(2991)*10^1; Ef_Dt24=9.468(6124); Fi_Dt24=-0.328(385); Ei_Dt24=0.917(365); Ff_Dt32=4.30(2991)*10^1; Ef_Dt32=9.468(6124); Fi_Dt32=2.32(1846)*10^4; Ei_Dt32=5.586(2553)
*|   csrc_Dt24_5-24_Dt32_0-23 |       0.54315 |   58.92/(  37 -  5) =   1.84 | F=-8.86(1281)*10^-3; Fi_Dt24=-1.53(710)*10^-2; Ei_Dt24=0.237(362); Fi_Dt32=-1.53(710)*10^-2; Ei_Dt32=0.237(362)
*|      c_Dt24_5-24_Dt32_8-30 |        0.5402 |   64.79/(  36 -  1) =   1.85 | F=-1.63(52)*10^-2
*|      c_Dt24_5-24_Dt32_6-30 |       0.53789 |   66.93/(  37 -  1) =   1.86 | F=-1.83(53)*10^-2
*|     c2_Dt24_5-24_Dt32_3-27 |       0.53697 |   52.14/(  37 -  9) =   1.86 | F=-2.53(60)*10^-2; Ff_Dt24=4.05(20)*10^1; Ef_Dt24=9.384(1422); Fi_Dt24=-0.576(1353); Ei_Dt24=1.207(686); Ff_Dt32=4.05(20)*10^1; Ef_Dt32=9.384(1422); Fi_Dt32=5.30(2)*10^2; Ei_Dt32=7.335(1985)
*|      c_Dt24_5-24_Dt32_1-23 |       0.53488 |   65.44/(  36 -  1) =   1.87 | F=-2.52(54)*10^-2
*|     c2_Dt24_5-24_Dt32_2-30 |       0.53352 |   58.10/(  40 -  9) =   1.87 | F=-2.59(57)*10^-2; Ff_Dt24=4.10(3224)*10^1; Ef_Dt24=9.499(6808); Fi_Dt24=-0.619(806); Ei_Dt24=1.190(390); Ff_Dt32=4.10(3224)*10^1; Ef_Dt32=9.499(6808); Fi_Dt32=1.53(768)*10^4; Ei_Dt32=5.231(1643)
*|     c2_Dt24_5-24_Dt32_1-29 |       0.53235 |   58.23/(  40 -  9) =   1.88 | F=-2.47(53)*10^-2; Ff_Dt24=4.20(2460)*10^1; Ef_Dt24=9.413(5309); Fi_Dt24=-0.332(140); Ei_Dt24=1.035(203); Ff_Dt32=4.20(2460)*10^1; Ef_Dt32=9.413(5309); Fi_Dt32=3.50(152)*10^2; Ei_Dt32=4.868(219)
*|     c_Dt24_5-24_Dt32_10-31 |       0.53189 |   63.92/(  35 -  1) =   1.88 | F=-1.07(43)*10^-2
*|      c_Dt24_5-24_Dt32_5-30 |       0.53128 |   67.76/(  37 -  1) =   1.88 | F=-2.16(52)*10^-2
*|     c2_Dt24_5-24_Dt32_3-31 |       0.53095 |   58.39/(  40 -  9) =   1.88 | F=-1.93(52)*10^-2; Ff_Dt24=4.34(2546)*10^1; Ef_Dt24=9.488(5716); Fi_Dt24=-0.686(1518); Ei_Dt24=1.030(455); Ff_Dt32=4.35(2547)*10^1; Ef_Dt32=9.485(5713); Fi_Dt32=1.279(13523); Ei_Dt32=1.575(2306)
*|      c_Dt24_5-24_Dt32_8-29 |       0.52857 |   64.32/(  35 -  1) =   1.89 | F=-1.84(54)*10^-2
*|     c2_Dt24_5-24_Dt32_0-24 |       0.52494 |   55.24/(  38 -  9) =   1.90 | F=-1.33(45)*10^-2; Ff_Dt24=-1.77(0)*10^3; Ef_Dt24=2.18(4843)*10^1; Fi_Dt24=-4.57(45)*10^-2; Ei_Dt24=0.813(383); Ff_Dt32=2.237(612); Ef_Dt32=5.741(275); Fi_Dt32=0.643(113); Ei_Dt32=4.762(179)
*|      c_Dt24_5-24_Dt32_6-27 |       0.52481 |   64.79/(  35 -  1) =   1.91 | F=-1.89(55)*10^-2
*|      c_Dt24_5-24_Dt32_2-23 |        0.5241 |   64.87/(  35 -  1) =   1.91 | F=-2.39(60)*10^-2
*|   csnk_Dt24_5-24_Dt32_3-31 |       0.52146 |   67.12/(  40 -  5) =   1.92 | F=-2.55(38)*10^-2; Ff_Dt24=7.299(53469); Ef_Dt24=7.808(6488); Ff_Dt32=7.299(53467); Ef_Dt32=7.808(6488)
*|      c_Dt24_5-24_Dt32_8-31 |        0.5207 |   69.14/(  37 -  1) =   1.92 | F=-9.21(423)*10^-3
*|      c_Dt24_5-24_Dt32_0-23 |       0.52066 |   69.14/(  37 -  1) =   1.92 | F=-3.09(47)*10^-2
*|      c_Dt24_5-24_Dt32_7-31 |       0.52059 |   69.15/(  37 -  1) =   1.92 | F=-8.79(427)*10^-3
