 |                         fit_name |       quality |   chisq/nDoF                 |
 |    csrc__24,12_24,24__32,5_32,25 |        11.269 |   26.55/(  29 -  3) =   1.02 | F=4.85(1102)*10^-3; dmi=0.672(351); Fi=0.935(1688)
 |      c__24,12_24,24__32,12_32,23 |        11.214 |   16.99/(  20 -  1) =   0.89 | F=2.08(152)*10^-2
 |       c__24,12_24,23__32,4_32,24 |        11.185 |   27.94/(  28 -  1) =   1.03 | F=-1.79(889)*10^-3
 |      c__24,12_24,23__32,13_32,22 |        11.173 |   12.65/(  17 -  1) =   0.79 | F=1.82(165)*10^-2
 |      c__24,12_24,24__32,14_32,22 |        11.139 |   12.68/(  17 -  1) =   0.79 | F=1.77(164)*10^-2
 |      c__24,12_24,24__32,13_32,21 |        11.058 |   12.75/(  17 -  1) =   0.80 | F=1.81(165)*10^-2
 |      c__24,12_24,23__32,13_32,26 |        11.018 |   18.55/(  21 -  1) =   0.93 | F=1.07(149)*10^-2
 |      c__24,12_24,23__32,15_32,25 |        11.016 |   14.27/(  18 -  1) =   0.84 | F=1.89(166)*10^-2
 |       c__24,12_24,24__32,8_32,24 |        10.975 |   24.08/(  25 -  1) =   1.00 | F=4.74(1062)*10^-3
 |      c__24,12_24,24__32,15_32,24 |        10.966 |   14.31/(  18 -  1) =   0.84 | F=2.24(166)*10^-2
 |       c__24,12_24,23__32,3_32,13 |        10.957 |   15.77/(  19 -  1) =   0.88 | F=-1.55(1182)*10^-3
 |      c__24,13_24,24__32,13_32,22 |        10.942 |   12.85/(  17 -  1) =   0.80 | F=1.80(176)*10^-2
 |   csrc__24,12_24,23__32,13_32,25 |         10.94 |   14.33/(  20 -  3) =   0.84 | F=1.88(172)*10^-2; dmi=1.792(742); Fi=-3.67(1249)*10^6
 |       c__24,12_24,23__32,6_32,24 |        10.938 |   25.45/(  26 -  1) =   1.02 | F=3.12(1030)*10^-3
 |   csnk__24,13_24,24__32,13_32,25 |        10.933 |   14.34/(  20 -  3) =   0.84 | F=1.85(168)*10^-2; dmf=6.978(7863); Ff=3.984(46015)
 |       c__24,12_24,24__32,1_32,12 |        10.797 |   18.72/(  21 -  1) =   0.94 | F=-4.78(1047)*10^-3
 |      c2__24,12_24,23__32,5_32,25 |        10.786 |   22.86/(  28 -  5) =   0.99 | F=9.46(1164)*10^-3; dmf=0.390(358); Ff=-2.59(292)*10^-2; dmi=0.718(493); Fi=0.818(2125)
 |       c__24,12_24,24__32,7_32,13 |         10.74 |   11.51/(  16 -  1) =   0.77 | F=7.92(1298)*10^-3
 |       c__24,12_24,24__32,7_32,22 |        10.727 |   22.90/(  24 -  1) =   1.00 | F=2.94(1075)*10^-3
 |      c__24,12_24,24__32,11_32,23 |        10.714 |   18.79/(  21 -  1) =   0.94 | F=1.64(148)*10^-2
 |       c__24,12_24,24__32,8_32,23 |        10.704 |   22.92/(  24 -  1) =   1.00 | F=2.27(1086)*10^-3
 |      c2__24,12_24,23__32,0_32,25 |        10.697 |   29.61/(  33 -  5) =   1.06 | F=1.45(94)*10^-2; dmf=0.346(133); Ff=-6.89(213)*10^-2; dmi=0.444(218); Fi=-4.18(102)*10^-2
 |       c__24,13_24,24__32,7_32,22 |        10.682 |   21.57/(  23 -  1) =   0.98 | F=7.82(1156)*10^-3
 |      c__24,12_24,24__32,12_32,22 |        10.681 |   15.99/(  19 -  1) =   0.89 | F=2.51(158)*10^-2
 |       c__24,13_24,24__32,7_32,25 |        10.677 |   25.64/(  26 -  1) =   1.03 | F=1.57(108)*10^-2
 |      c__24,13_24,24__32,11_32,24 |        10.673 |   18.82/(  21 -  1) =   0.94 | F=2.14(149)*10^-2
 |      c__24,12_24,24__32,11_32,22 |        10.671 |   17.42/(  20 -  1) =   0.92 | F=2.19(156)*10^-2
 |      c__24,12_24,23__32,14_32,23 |        10.646 |   13.10/(  17 -  1) =   0.82 | F=1.57(161)*10^-2
 |       c__24,12_24,24__32,2_32,13 |        10.642 |   18.84/(  21 -  1) =   0.94 | F=-2.17(1163)*10^-3
 |      c__24,12_24,24__32,15_32,25 |        10.641 |   16.02/(  19 -  1) =   0.89 | F=2.07(166)*10^-2
 |      c__24,13_24,24__32,12_32,25 |        10.623 |   18.86/(  21 -  1) =   0.94 | F=2.54(153)*10^-2
 |   csrc__24,12_24,24__32,10_32,25 |        10.612 |   20.25/(  24 -  3) =   0.96 | F=2.57(163)*10^-2; dmi=1.057(420); Fi=-1.64(711)*10^3
 |      c__24,13_24,24__32,11_32,18 |        10.603 |   11.63/(  16 -  1) =   0.78 | F=2.95(175)*10^-2
 |      c__24,13_24,24__32,11_32,23 |         10.58 |   17.49/(  20 -  1) =   0.92 | F=1.94(150)*10^-2
 |      c2__24,13_24,24__32,5_32,25 |        10.558 |   23.03/(  28 -  5) =   1.00 | F=9.17(1241)*10^-3; dmf=7.871(8763); Ff=1.03(1302)*10^1; dmi=0.664(452); Fi=0.756(1763)
 |      c__24,12_24,23__32,11_32,18 |        10.548 |   11.68/(  16 -  1) =   0.78 | F=2.93(175)*10^-2
 |      c__24,13_24,24__32,12_32,22 |         10.53 |   14.67/(  18 -  1) =   0.86 | F=2.79(160)*10^-2
 |       c__24,13_24,24__32,8_32,23 |         10.52 |   21.70/(  23 -  1) =   0.99 | F=7.96(1202)*10^-3
 |    csrc__24,12_24,24__32,6_32,25 |        10.507 |   25.76/(  28 -  3) =   1.03 | F=9.35(1063)*10^-3; dmi=1.286(1073); Fi=5.52(3959)*10^1
 |       c__24,12_24,23__32,1_32,13 |        10.485 |   18.96/(  21 -  1) =   0.95 | F=-4.34(1058)*10^-3
 |       c__24,12_24,24__32,8_32,25 |        10.425 |   25.83/(  26 -  1) =   1.03 | F=1.12(94)*10^-2
 |       c__24,12_24,23__32,9_32,25 |        10.405 |   23.14/(  24 -  1) =   1.01 | F=8.31(1351)*10^-3
 |    csrc__24,12_24,23__32,7_32,25 |        10.401 |   23.15/(  26 -  3) =   1.01 | F=8.68(1051)*10^-3; dmi=1.741(2025); Fi=1.83(3156)*10^3
 |      c__24,12_24,24__32,11_32,25 |        10.389 |   21.79/(  23 -  1) =   0.99 | F=1.79(146)*10^-2
 |      c2__24,12_24,24__32,6_32,25 |        10.369 |   23.17/(  28 -  5) =   1.01 | F=8.53(1081)*10^-3; dmf=7.409(8251); Ff=6.053(62867); dmi=1.264(1278); Fi=3.99(3491)*10^1
 |      c__24,13_24,24__32,14_32,24 |        10.366 |   14.80/(  18 -  1) =   0.87 | F=1.89(169)*10^-2
 |      c__24,12_24,23__32,15_32,24 |        10.364 |   13.34/(  17 -  1) =   0.83 | F=2.06(167)*10^-2
 |      c2__24,12_24,23__32,2_32,25 |        10.345 |   27.22/(  31 -  5) =   1.05 | F=1.04(94)*10^-2; dmf=0.437(245); Ff=-5.14(256)*10^-2; dmi=0.841(507); Fi=-0.132(142)
 |       c__24,13_24,24__32,1_32,13 |          10.3 |   19.11/(  21 -  1) =   0.96 | F=-5.73(1089)*10^-3
 |      c__24,12_24,24__32,15_32,23 |         10.29 |   13.40/(  17 -  1) =   0.84 | F=1.67(176)*10^-2
