 |                         fit_name |       quality |   chisq/nDoF                 |
 |      c__24,13_24,24__32,10_32,22 |         6.258 |   21.14/(  20 -  1) =   1.11 | F=9.74(1425)*10^-3
 |      c__24,12_24,23__32,18_32,26 |        6.2491 |   16.92/(  17 -  1) =   1.06 | F=9.22(1615)*10^-3
 |      c__24,12_24,23__32,22_32,27 |        6.2452 |   12.58/(  14 -  1) =   0.97 | F=3.12(197)*10^-2
 |       c__24,12_24,24__32,5_32,10 |        6.2438 |   14.05/(  15 -  1) =   1.00 | F=8.74(1459)*10^-3
 |       c__24,10_24,24__32,4_32,15 |        6.2404 |   25.28/(  23 -  1) =   1.15 | F=-1.44(105)*10^-2
 |      c__24,13_24,24__32,14_32,26 |        6.2328 |   21.16/(  20 -  1) =   1.11 | F=7.24(1623)*10^-3
 |       c__24,13_24,24__32,9_32,18 |        6.2269 |   18.36/(  18 -  1) =   1.08 | F=1.08(155)*10^-2
 |       c__24,13_24,24__32,4_32,20 |        6.2248 |   26.66/(  24 -  1) =   1.16 | F=-1.39(1004)*10^-3
 |      c__24,12_24,23__32,13_32,30 |        6.2069 |   26.68/(  24 -  1) =   1.16 | F=4.73(1338)*10^-3
 |      c2__24,12_24,23__32,9_32,25 |        6.1995 |   21.19/(  24 -  5) =   1.12 | F=2.92(340)*10^-2; dmf=0.344(306); Ff=-3.74(319)*10^-2; dmi=0.234(428); Fi=-0.147(466)
 |       c__24,10_24,24__32,1_32,11 |        6.1957 |   23.96/(  22 -  1) =   1.14 | F=-2.28(1247)*10^-3
 |       c__24,13_24,24__32,3_32,10 |        6.1949 |   15.54/(  16 -  1) =   1.04 | F=1.21(1413)*10^-3
 |       c__24,12_24,23__32,6_32,18 |        6.1906 |   22.59/(  21 -  1) =   1.13 | F=-8.31(114703)*10^-5
 |       c__24,10_24,24__32,3_32,10 |        6.1732 |   19.82/(  19 -  1) =   1.10 | F=-3.22(1351)*10^-3
 |       c__24,12_24,23__32,3_32,18 |        6.1604 |   26.73/(  24 -  1) =   1.16 | F=-8.69(971)*10^-3
 |      c2__24,13_24,24__32,8_32,25 |        6.1591 |   22.62/(  25 -  5) =   1.13 | F=1.05(140)*10^-2; dmf=7.901(4669); Ff=1.00(469)*10^1; dmi=2.022(2578); Fi=8.01(22042)*10^4
 |       c__24,13_24,24__32,2_32,18 |        6.1506 |   28.09/(  25 -  1) =   1.17 | F=-5.53(977)*10^-3
 |      c2__24,12_24,24__32,9_32,25 |        6.1373 |   22.64/(  25 -  5) =   1.13 | F=1.77(236)*10^-2; dmf=7.731(8633); Ff=7.695(102382); dmi=0.249(383); Fi=-0.127(378)
 |   csrc__24,13_24,24__32,11_32,25 |        6.1316 |   21.26/(  22 -  3) =   1.12 | F=2.01(96)*10^-2; dmi=2.133(51892687); Fi=1.79(-2147483648)*10^-2
 |       c__24,10_24,24__32,3_32,24 |        6.1258 |   37.44/(  32 -  1) =   1.21 | F=-1.35(71)*10^-2
 |      c__24,13_24,24__32,18_32,23 |        6.1143 |   12.71/(  14 -  1) =   0.98 | F=1.61(200)*10^-2
 |       c__24,12_24,24__32,4_32,10 |        6.1137 |   15.62/(  16 -  1) =   1.04 | F=2.96(1385)*10^-3
 |      c__24,10_24,24__32,14_32,25 |        6.1135 |   24.04/(  22 -  1) =   1.14 | F=-6.43(1280)*10^-3
 |       c__24,12_24,24__32,5_32,18 |        6.0915 |   25.43/(  23 -  1) =   1.16 | F=-5.22(1079)*10^-3
 |     c2__24,13_24,24__32,10_32,26 |        6.0915 |   21.30/(  24 -  5) =   1.12 | F=2.08(169)*10^-2; dmf=1.51(10)*10^1; Ff=1.86(181)*10^4; dmi=1.965(362); Fi=-3.06(1338)*10^7
 |       c__24,12_24,24__32,8_32,20 |        6.0694 |   22.71/(  21 -  1) =   1.14 | F=1.56(1147)*10^-3
 |       c__24,10_24,24__32,6_32,13 |        6.0633 |   19.93/(  19 -  1) =   1.11 | F=-2.76(1238)*10^-3
 |    csrc__24,12_24,23__32,4_32,25 |        6.0604 |   30.87/(  29 -  3) =   1.19 | F=3.33(837)*10^-3; dmi=4.370(667191); Fi=0.450(1414)
 |       c__24,13_24,24__32,6_32,17 |        6.0568 |   21.33/(  20 -  1) =   1.12 | F=2.59(1198)*10^-3
 |       c__24,13_24,24__32,9_32,21 |        6.0568 |   21.33/(  20 -  1) =   1.12 | F=9.27(1470)*10^-3
 |       c__24,13_24,24__32,8_32,20 |        6.0432 |   21.34/(  20 -  1) =   1.12 | F=7.87(1268)*10^-3
 |       c__24,13_24,24__32,1_32,17 |        6.0335 |   28.21/(  25 -  1) =   1.18 | F=-7.51(943)*10^-3
 |     c2__24,12_24,24__32,10_32,26 |        6.0305 |   22.74/(  25 -  5) =   1.14 | F=1.77(153)*10^-2; dmf=6.938(7804); Ff=5.321(56832); dmi=1.679(952); Fi=-1.49(1522)*10^6
 |       c__24,10_24,24__32,6_32,22 |        6.0268 |   30.91/(  27 -  1) =   1.19 | F=-5.30(1016)*10^-3
 |       c__24,12_24,23__32,6_32,11 |        6.0249 |   12.80/(  14 -  1) =   0.98 | F=1.15(148)*10^-2
 |       c__24,13_24,24__32,4_32,17 |        6.0015 |   24.15/(  22 -  1) =   1.15 | F=-4.19(1032)*10^-3
 |      c2__24,12_24,24__32,4_32,25 |        5.9565 |   29.63/(  30 -  5) =   1.19 | F=-9.86(2382)*10^-3; dmf=8.097(8184); Ff=1.73(1451)*10^1; dmi=0.161(247); Fi=4.11(381)*10^-2
 |        c__24,12_24,24__32,0_32,9 |        5.9565 |   20.03/(  19 -  1) =   1.11 | F=5.35(1439)*10^-3
 |       c2__24,8_24,24__32,3_32,25 |        5.9541 |   34.98/(  34 -  5) =   1.21 | F=-1.84(69)*10^-2; dmf=8.135(8606); Ff=1.86(1687)*10^1; dmi=1.830(1172); Fi=-7.056(31189)
 |      c__24,12_24,23__32,28_32,32 |        5.9445 |   11.40/(  13 -  1) =   0.95 | F=4.54(219)*10^-2
 |       c__24,12_24,23__32,4_32,10 |         5.931 |   14.35/(  15 -  1) =   1.03 | F=6.31(1416)*10^-3
 |       c__24,12_24,23__32,2_32,10 |        5.9281 |   17.24/(  17 -  1) =   1.08 | F=4.98(1411)*10^-3
 |      c__24,13_24,24__32,25_32,29 |        5.9151 |    9.92/(  12 -  1) =   0.90 | F=3.00(228)*10^-2
 |      c__24,12_24,24__32,22_32,30 |        5.9098 |   17.25/(  17 -  1) =   1.08 | F=3.55(190)*10^-2
 |       c__24,10_24,24__32,5_32,24 |        5.8894 |   35.04/(  30 -  1) =   1.21 | F=-4.25(965)*10^-3
 |       c__24,12_24,23__32,5_32,10 |        5.8833 |   12.94/(  14 -  1) =   1.00 | F=1.16(148)*10^-2
 |      c__24,12_24,24__32,26_32,30 |        5.8719 |   11.47/(  13 -  1) =   0.96 | F=2.81(216)*10^-2
 |       c__24,10_24,24__32,6_32,18 |        5.8588 |   27.03/(  24 -  1) =   1.18 | F=-6.76(1068)*10^-3
 |      c__24,13_24,24__32,25_32,30 |        5.8558 |   11.48/(  13 -  1) =   0.96 | F=2.59(225)*10^-2
 |       c__24,12_24,23__32,7_32,14 |         5.855 |   15.88/(  16 -  1) =   1.06 | F=1.70(1264)*10^-3
 |       c__24,10_24,24__32,5_32,15 |        5.8546 |   24.30/(  22 -  1) =   1.16 | F=-8.81(1188)*10^-3
 |   csnk__24,12_24,23__32,13_32,27 |        5.8403 |   21.55/(  22 -  3) =   1.13 | F=1.93(210)*10^-2; dmf=0.165(117); Ff=-6.04(379)*10^-2
 |       c__24,10_24,24__32,7_32,23 |        5.8398 |   31.10/(  27 -  1) =   1.20 | F=-5.45(1016)*10^-3
 |       c__24,10_24,24__32,4_32,22 |        5.8378 |   33.77/(  29 -  1) =   1.21 | F=-9.51(881)*10^-3
 |      c__24,13_24,24__32,18_32,25 |        5.8351 |   15.90/(  16 -  1) =   1.06 | F=1.86(187)*10^-2
 |      c__24,12_24,23__32,15_32,20 |        5.8217 |   11.52/(  13 -  1) =   0.96 | F=2.79(198)*10^-2
 |       c__24,12_24,23__32,9_32,18 |        5.7984 |   18.78/(  18 -  1) =   1.10 | F=9.51(1533)*10^-3
 |       c__24,12_24,24__32,8_32,14 |        5.7974 |   15.93/(  16 -  1) =   1.06 | F=1.32(1318)*10^-3
 |       c__24,13_24,24__32,7_32,14 |        5.7948 |   15.94/(  16 -  1) =   1.06 | F=1.55(1334)*10^-3
 |       c__24,13_24,24__32,3_32,17 |        5.7865 |   25.74/(  23 -  1) =   1.17 | F=-7.42(1000)*10^-3
 |       c__24,10_24,24__32,4_32,18 |        5.7847 |   29.81/(  26 -  1) =   1.19 | F=-1.18(92)*10^-2
 |       c__24,10_24,24__32,6_32,12 |        5.7749 |   18.81/(  18 -  1) =   1.11 | F=-1.33(1245)*10^-3
 |       c__24,12_24,24__32,4_32,17 |        5.7586 |   25.77/(  23 -  1) =   1.17 | F=-8.61(972)*10^-3
 |      c__24,12_24,23__32,13_32,27 |        5.7456 |   24.41/(  22 -  1) =   1.16 | F=-3.05(14202)*10^-4
 |      c__24,12_24,23__32,13_32,29 |        5.7445 |   25.78/(  23 -  1) =   1.17 | F=5.25(1339)*10^-3
 |      c__24,12_24,23__32,19_32,23 |        5.7284 |   11.61/(  13 -  1) =   0.97 | F=1.89(186)*10^-2
 |     c2__24,13_24,24__32,12_32,26 |        5.7275 |   18.86/(  22 -  5) =   1.11 | F=2.82(2132)*10^-3; dmf=9.819(10354); Ff=9.01(9798)*10^1; dmi=0.741(652); Fi=1.78(1455)*10^2
 |       c__24,12_24,23__32,5_32,18 |        5.7093 |   24.45/(  22 -  1) =   1.16 | F=-1.49(1142)*10^-3
 |   csrc__24,12_24,23__32,10_32,25 |         5.703 |   23.07/(  23 -  3) =   1.15 | F=7.74(1368)*10^-3; dmi=2.137(1839); Fi=1.79(20000)*10^-2
 |      c__24,12_24,23__32,10_32,22 |        5.7006 |   21.69/(  20 -  1) =   1.14 | F=7.14(1403)*10^-3
 |      c__24,13_24,24__32,15_32,20 |        5.6869 |   11.65/(  13 -  1) =   0.97 | F=2.80(210)*10^-2
 |       c__24,10_24,24__32,4_32,11 |        5.6726 |   20.32/(  19 -  1) =   1.13 | F=-2.83(1354)*10^-3
 |       c__24,12_24,23__32,7_32,16 |        5.6697 |   18.91/(  18 -  1) =   1.11 | F=3.80(1257)*10^-3
 |       c__24,12_24,24__32,9_32,17 |        5.6683 |   18.92/(  18 -  1) =   1.11 | F=7.03(1542)*10^-3
 |       c__24,10_24,24__32,3_32,15 |        5.6629 |   27.23/(  24 -  1) =   1.18 | F=-1.79(102)*10^-2
 |      c__24,13_24,24__32,19_32,23 |        5.6615 |   11.68/(  13 -  1) =   0.97 | F=2.08(205)*10^-2
 |       c__24,12_24,24__32,4_32,15 |        5.6582 |   23.12/(  21 -  1) =   1.16 | F=-1.06(109)*10^-2
 |      c__24,12_24,24__32,10_32,18 |        5.6537 |   18.93/(  18 -  1) =   1.11 | F=7.10(1541)*10^-3
 |      c__24,12_24,24__32,17_32,21 |        5.6468 |   11.69/(  13 -  1) =   0.97 | F=1.91(187)*10^-2
 |      c__24,13_24,24__32,21_32,26 |        5.6366 |   13.19/(  14 -  1) =   1.01 | F=2.27(193)*10^-2
 |        c__24,12_24,23__32,4_32,8 |         5.629 |   11.71/(  13 -  1) =   0.98 | F=1.71(158)*10^-2
 |       c__24,10_24,24__32,5_32,23 |        5.6268 |   34.00/(  29 -  1) =   1.21 | F=-7.29(1009)*10^-3
 |       c__24,10_24,24__32,8_32,24 |        5.6262 |   31.32/(  27 -  1) =   1.20 | F=-4.12(981)*10^-3
 |       c__24,10_24,24__32,2_32,13 |        5.6237 |   25.91/(  23 -  1) =   1.18 | F=-1.18(110)*10^-2
 |       c__24,12_24,24__32,6_32,17 |        5.6148 |   23.17/(  21 -  1) =   1.16 | F=-3.51(1110)*10^-3
 |       c__24,12_24,23__32,8_32,17 |        5.6125 |   18.97/(  18 -  1) =   1.12 | F=2.66(1212)*10^-3
 |      c2__24,13_24,24__32,3_32,25 |        5.6074 |   30.00/(  30 -  5) =   1.20 | F=8.08(988)*10^-3; dmf=8.834(9382); Ff=3.78(3749)*10^1; dmi=1.539(1078); Fi=-2.195(8714)
 |      c__24,10_24,24__32,14_32,22 |        5.6058 |   20.39/(  19 -  1) =   1.13 | F=-8.50(1328)*10^-3
 |      c__24,12_24,23__32,26_32,30 |        5.6038 |   10.23/(  12 -  1) =   0.93 | F=3.49(225)*10^-2
 |      c__24,10_24,24__32,15_32,23 |        5.5985 |   20.39/(  19 -  1) =   1.13 | F=-8.14(1414)*10^-3
 |       c__24,12_24,24__32,1_32,15 |        5.5773 |   27.32/(  24 -  1) =   1.19 | F=-1.38(97)*10^-2
 |      c__24,12_24,23__32,16_32,21 |        5.5714 |   11.77/(  13 -  1) =   0.98 | F=2.11(189)*10^-2
 |        c__24,13_24,24__32,2_32,7 |        5.5698 |   13.25/(  14 -  1) =   1.02 | F=1.53(162)*10^-2
 |        c__24,12_24,23__32,2_32,7 |        5.5683 |   13.25/(  14 -  1) =   1.02 | F=1.45(156)*10^-2
 |       c__24,12_24,24__32,6_32,20 |        5.5675 |   25.97/(  23 -  1) =   1.18 | F=-1.72(1087)*10^-3
 |      c__24,12_24,24__32,20_32,26 |        5.5611 |   16.17/(  16 -  1) =   1.08 | F=2.43(183)*10^-2
 |       c__24,12_24,23__32,9_32,21 |         5.559 |   21.83/(  20 -  1) =   1.15 | F=8.36(1466)*10^-3
 |        c__24,12_24,24__32,2_32,6 |        5.5532 |   13.27/(  14 -  1) =   1.02 | F=1.45(156)*10^-2
 |      c2__24,13_24,24__32,4_32,25 |        5.5524 |   28.71/(  29 -  5) =   1.20 | F=1.29(107)*10^-2; dmf=2.83(4)*10^1; Ff=1.03(0)*10^10; dmi=6.185(151); Fi=-7.35(0)*10^10
 |       c__24,13_24,24__32,5_32,20 |         5.542 |   25.99/(  23 -  1) =   1.18 | F=3.58(1173)*10^-3
 |       c__24,12_24,23__32,5_32,21 |        5.5408 |   27.36/(  24 -  1) =   1.19 | F=-3.87(11141)*10^-4
 |       c__24,12_24,24__32,8_32,16 |        5.5392 |   19.05/(  18 -  1) =   1.12 | F=3.72(1305)*10^-3
 |     c2__24,12_24,23__32,13_32,26 |        5.5287 |   17.64/(  21 -  5) =   1.10 | F=1.91(180)*10^-2; dmf=0.219(221); Ff=-3.33(360)*10^-2; dmi=2.974(1916); Fi=1.166(2000)
 |      c__24,12_24,23__32,20_32,26 |        5.5271 |   14.76/(  15 -  1) =   1.05 | F=2.19(184)*10^-2
 |      c__24,12_24,23__32,12_32,30 |        5.5265 |   28.73/(  25 -  1) =   1.20 | F=5.46(1337)*10^-3
 |      c__24,12_24,23__32,14_32,29 |        5.5222 |   24.64/(  22 -  1) =   1.17 | F=6.24(1342)*10^-3
 |       c__24,13_24,24__32,2_32,10 |        5.5187 |   17.65/(  17 -  1) =   1.10 | F=3.30(1405)*10^-3
 |       c__24,12_24,24__32,0_32,12 |        5.5155 |   24.65/(  22 -  1) =   1.17 | F=-1.49(96)*10^-2
 |      c__24,10_24,24__32,14_32,18 |        5.5122 |   16.22/(  16 -  1) =   1.08 | F=-3.23(1455)*10^-3
 |      c__24,10_24,24__32,15_32,24 |        5.4726 |   21.92/(  20 -  1) =   1.15 | F=-3.43(1362)*10^-3
 |       c__24,12_24,24__32,5_32,21 |        5.4647 |   28.80/(  25 -  1) =   1.20 | F=-4.68(1055)*10^-3
 |       c__24,10_24,24__32,5_32,11 |        5.4565 |   19.13/(  18 -  1) =   1.13 | F=2.06(1427)*10^-3
 |      c__24,12_24,24__32,22_32,29 |        5.4562 |   16.28/(  16 -  1) =   1.09 | F=3.72(191)*10^-2
 |       c__24,13_24,24__32,3_32,20 |         5.456 |   28.81/(  25 -  1) =   1.20 | F=-4.90(975)*10^-3
 |      c__24,10_24,24__32,13_32,21 |        5.4532 |   20.55/(  19 -  1) =   1.14 | F=-7.99(1349)*10^-3
 |      c__24,10_24,24__32,13_32,17 |        5.4465 |   16.29/(  16 -  1) =   1.09 | F=-3.49(1480)*10^-3
 |       c__24,13_24,24__32,0_32,13 |        5.4443 |   24.73/(  22 -  1) =   1.18 | F=-1.85(95)*10^-2
 |    csrc__24,8_24,24__32,13_32,25 |        5.4418 |   26.10/(  25 -  3) =   1.19 | F=0.856(127); dmi=4.31(186)*10^-3; Fi=-0.896(127)
 |        c__24,13_24,24__32,4_32,8 |        5.4351 |   11.91/(  13 -  1) =   0.99 | F=1.52(162)*10^-2
 |      c__24,13_24,24__32,16_32,21 |        5.4279 |   11.92/(  13 -  1) =   0.99 | F=2.09(198)*10^-2
 |      c__24,12_24,23__32,14_32,30 |        5.4149 |   26.13/(  23 -  1) =   1.19 | F=5.26(1339)*10^-3
 |       c__24,12_24,24__32,6_32,10 |        5.4105 |   13.42/(  14 -  1) =   1.03 | F=9.03(1460)*10^-3
 |       c__24,12_24,23__32,4_32,17 |        5.4028 |   24.77/(  22 -  1) =   1.18 | F=-4.82(1043)*10^-3
 |      c__24,13_24,24__32,22_32,26 |        5.4022 |   11.94/(  13 -  1) =   1.00 | F=3.21(211)*10^-2
 |      c__24,12_24,23__32,14_32,27 |        5.4004 |   23.39/(  21 -  1) =   1.17 | F=8.72(14249)*10^-4
 |      c__24,12_24,24__32,28_32,32 |         5.392 |   13.44/(  14 -  1) =   1.03 | F=3.78(212)*10^-2
 |       c__24,12_24,24__32,3_32,21 |        5.3873 |   31.58/(  27 -  1) =   1.21 | F=-1.14(88)*10^-2
 |       c__24,12_24,23__32,4_32,20 |        5.3827 |   27.53/(  24 -  1) =   1.20 | F=-2.38(1008)*10^-3
 |       c__24,13_24,24__32,6_32,11 |        5.3745 |   13.45/(  14 -  1) =   1.03 | F=7.74(1498)*10^-3
 |       c__24,13_24,24__32,5_32,17 |          5.37 |   23.42/(  21 -  1) =   1.17 | F=9.03(11924)*10^-4
 |      c__24,12_24,24__32,22_32,27 |        5.3699 |   14.92/(  15 -  1) =   1.07 | F=3.16(197)*10^-2
 |       c__24,12_24,23__32,3_32,21 |        5.3654 |   30.26/(  26 -  1) =   1.21 | F=-7.35(951)*10^-3
 |       c__24,12_24,24__32,3_32,17 |        5.3455 |   27.57/(  24 -  1) =   1.20 | F=-1.24(93)*10^-2
 |       c__24,10_24,24__32,6_32,15 |        5.3386 |   23.46/(  21 -  1) =   1.17 | F=-6.86(1207)*10^-3
 |       c__24,12_24,23__32,8_32,20 |        5.3315 |   22.07/(  20 -  1) =   1.16 | F=4.14(1192)*10^-3
 |       c__24,10_24,24__32,2_32,12 |        5.3236 |   24.85/(  22 -  1) =   1.18 | F=-1.06(110)*10^-2
 |      c__24,13_24,24__32,16_32,20 |        5.3044 |   10.54/(  12 -  1) =   0.96 | F=2.92(210)*10^-2
 |       c__24,12_24,24__32,3_32,15 |        5.2998 |   24.88/(  22 -  1) =   1.18 | F=-1.38(106)*10^-2
 |       c__24,10_24,24__32,7_32,22 |        5.2998 |   30.33/(  26 -  1) =   1.21 | F=-4.66(1020)*10^-3
 |       c__24,12_24,23__32,8_32,15 |        5.2962 |   16.45/(  16 -  1) =   1.10 | F=2.68(1307)*10^-3
 |       c__24,12_24,24__32,4_32,20 |        5.2825 |   29.00/(  25 -  1) =   1.21 | F=-6.85(938)*10^-3
 |       c__24,12_24,24__32,9_32,15 |        5.2807 |   16.46/(  16 -  1) =   1.10 | F=1.26(1692)*10^-3
 |      c__24,12_24,23__32,16_32,20 |        5.2766 |   10.57/(  12 -  1) =   0.96 | F=2.78(198)*10^-2
 |      c__24,12_24,23__32,18_32,22 |        5.2758 |   12.08/(  13 -  1) =   1.01 | F=1.72(185)*10^-2
 |        c__24,10_24,24__32,1_32,9 |        5.2697 |   22.14/(  20 -  1) =   1.17 | F=-5.24(1340)*10^-3
 |       c__24,13_24,24__32,8_32,15 |        5.2695 |   16.47/(  16 -  1) =   1.10 | F=2.98(1428)*10^-3
 |        c__24,13_24,24__32,1_32,6 |        5.2662 |   13.57/(  14 -  1) =   1.04 | F=1.31(157)*10^-2
 |        c__24,12_24,23__32,1_32,6 |        5.2386 |   13.59/(  14 -  1) =   1.05 | F=1.24(152)*10^-2
 |      c__24,12_24,23__32,23_32,30 |        5.2337 |   15.06/(  15 -  1) =   1.08 | F=3.61(209)*10^-2
 |       c__24,10_24,24__32,6_32,21 |         5.226 |   30.42/(  26 -  1) =   1.22 | F=-6.65(1034)*10^-3
 |      c__24,12_24,24__32,18_32,26 |        5.2024 |   19.40/(  18 -  1) =   1.14 | F=1.03(161)*10^-2
 |      c__24,12_24,23__32,12_32,31 |        5.1953 |   30.45/(  26 -  1) =   1.22 | F=1.32(120)*10^-2
 |       c__24,10_24,24__32,7_32,15 |        5.1892 |   22.23/(  20 -  1) =   1.17 | F=-5.63(1212)*10^-3
 |      c__24,13_24,24__32,18_32,22 |        5.1889 |   12.17/(  13 -  1) =   1.01 | F=1.80(201)*10^-2
 |      c__24,13_24,24__32,10_32,18 |        5.1864 |   18.00/(  17 -  1) =   1.12 | F=9.50(1561)*10^-3
 |       c__24,12_24,23__32,6_32,20 |        5.1852 |   25.01/(  22 -  1) =   1.19 | F=1.69(1141)*10^-3
 |      c__24,12_24,23__32,23_32,29 |        5.1784 |   13.66/(  14 -  1) =   1.05 | F=3.92(210)*10^-2
 |       c__24,12_24,24__32,5_32,15 |        5.1739 |   22.24/(  20 -  1) =   1.17 | F=-5.58(1213)*10^-3
 |       c__24,10_24,24__32,7_32,18 |        5.1486 |   26.42/(  23 -  1) =   1.20 | F=-5.91(1073)*10^-3
 |       c__24,10_24,24__32,3_32,18 |        5.1472 |   31.85/(  27 -  1) =   1.23 | F=-1.59(88)*10^-2
 |        c__24,12_24,23__32,2_32,9 |        5.1421 |   16.61/(  16 -  1) =   1.11 | F=8.84(1493)*10^-3
 |      c__24,12_24,23__32,25_32,31 |        5.1395 |   13.70/(  14 -  1) =   1.05 | F=4.12(218)*10^-2
 |       c__24,10_24,24__32,3_32,23 |         5.122 |   37.22/(  31 -  1) =   1.24 | F=-1.54(82)*10^-2
 |      c__24,13_24,24__32,15_32,26 |        5.1096 |   20.91/(  19 -  1) =   1.16 | F=1.08(177)*10^-2
 |       c__24,10_24,24__32,2_32,10 |        5.1008 |   22.32/(  20 -  1) =   1.17 | F=-2.88(1351)*10^-3
 |       c__24,10_24,24__32,7_32,13 |        5.0992 |   19.51/(  18 -  1) =   1.15 | F=-2.13(1242)*10^-3
 |       c__24,12_24,24__32,6_32,15 |        5.0903 |   20.93/(  19 -  1) =   1.16 | F=-3.04(1233)*10^-3
 |     c2__24,13_24,24__32,13_32,26 |        5.0875 |   18.10/(  21 -  5) =   1.13 | F=-9.851(216); dmf=7.880(5561); Ff=1.39(776)*10^1; dmi=1.57(235)*10^-4; Fi=9.884(216)
 |        c__24,10_24,24__32,1_32,7 |        5.0868 |   19.53/(  18 -  1) =   1.15 | F=-6.31(14180)*10^-4
 |      c__24,12_24,23__32,19_32,26 |        5.0782 |   16.68/(  16 -  1) =   1.11 | F=9.93(1621)*10^-3
 |       c__24,13_24,24__32,9_32,17 |        5.0679 |   18.12/(  17 -  1) =   1.13 | F=9.56(1568)*10^-3
 |        c__24,12_24,24__32,0_32,7 |        5.0654 |   18.13/(  17 -  1) =   1.13 | F=1.02(151)*10^-2
 |        c__24,13_24,24__32,2_32,9 |        5.0617 |   16.69/(  16 -  1) =   1.11 | F=9.15(1527)*10^-3
 |       c__24,12_24,23__32,4_32,15 |        5.0598 |   22.37/(  20 -  1) =   1.18 | F=-8.82(1105)*10^-3
 |       c__24,12_24,24__32,9_32,20 |        5.0574 |   22.37/(  20 -  1) =   1.18 | F=7.26(1511)*10^-3
 |      c__24,12_24,24__32,10_32,21 |         5.056 |   22.37/(  20 -  1) =   1.18 | F=6.29(1453)*10^-3
 |       c__24,10_24,24__32,5_32,10 |        5.0554 |   18.14/(  17 -  1) =   1.13 | F=2.76(1428)*10^-3
 |       c__24,13_24,24__32,8_32,16 |        5.0463 |   18.15/(  17 -  1) =   1.13 | F=7.89(1377)*10^-3
 |        c__24,12_24,24__32,2_32,8 |        5.0377 |   16.72/(  16 -  1) =   1.11 | F=7.99(1523)*10^-3
 |      c__24,12_24,24__32,25_32,31 |        5.0289 |   15.28/(  15 -  1) =   1.09 | F=3.52(212)*10^-2
 |       c__24,13_24,24__32,1_32,15 |        5.0146 |   26.57/(  23 -  1) =   1.21 | F=-1.05(105)*10^-2
 |      c2__24,13_24,24__32,9_32,25 |        5.0105 |   22.42/(  24 -  5) =   1.18 | F=1.74(251)*10^-2; dmf=7.909(8755); Ff=9.423(102839); dmi=0.223(448); Fi=-7.71(3025)*10^-2
 |       c__24,12_24,24__32,1_32,18 |        5.0006 |   32.02/(  27 -  1) =   1.23 | F=-1.51(83)*10^-2
 |      c__24,12_24,23__32,23_32,27 |        4.9992 |   12.37/(  13 -  1) =   1.03 | F=3.50(214)*10^-2
 |       c__24,10_24,24__32,4_32,10 |        4.9697 |   19.65/(  18 -  1) =   1.16 | F=-2.84(1354)*10^-3
 |      c__24,12_24,23__32,13_32,31 |        4.9612 |   29.36/(  25 -  1) =   1.22 | F=1.42(121)*10^-2
 |    csrc__24,13_24,24__32,9_32,25 |         4.957 |   25.26/(  24 -  3) =   1.20 | F=1.02(139)*10^-2; dmi=2.110(1835); Fi=1.79(20000)*10^-2
 |       c__24,13_24,24__32,2_32,17 |        4.9559 |   28.01/(  24 -  1) =   1.22 | F=-6.08(996)*10^-3
 |      c__24,13_24,24__32,10_32,21 |        4.9512 |   21.09/(  19 -  1) =   1.17 | F=8.93(1472)*10^-3
 |      c__24,13_24,24__32,16_32,26 |        4.9411 |   19.69/(  18 -  1) =   1.16 | F=1.08(177)*10^-2
 |        c__24,12_24,23__32,1_32,8 |        4.9391 |   16.83/(  16 -  1) =   1.12 | F=6.28(1483)*10^-3
 |       c__24,10_24,24__32,4_32,14 |        4.9364 |   25.28/(  22 -  1) =   1.20 | F=-1.43(108)*10^-2
 |       c__24,13_24,24__32,5_32,10 |         4.932 |   13.92/(  14 -  1) =   1.07 | F=7.52(1498)*10^-3
 |       c__24,12_24,23__32,6_32,17 |        4.9219 |   22.52/(  20 -  1) =   1.19 | F=-6.28(11668)*10^-4
 |       c__24,13_24,24__32,4_32,10 |        4.9212 |   15.40/(  15 -  1) =   1.10 | F=1.57(1416)*10^-3
 |   csnk__24,12_24,24__32,13_32,30 |        4.9201 |   26.68/(  25 -  3) =   1.21 | F=4.71(1338)*10^-3; dmf=7.830(8621); Ff=1.28(1283)*10^1
 |       c__24,10_24,24__32,5_32,22 |        4.9183 |   33.46/(  28 -  1) =   1.24 | F=-6.75(1012)*10^-3
 |       c__24,10_24,24__32,2_32,11 |         4.908 |   23.93/(  21 -  1) =   1.20 | F=-3.14(1351)*10^-3
 |       c__24,10_24,24__32,5_32,18 |        4.8941 |   29.44/(  25 -  1) =   1.23 | F=-8.60(1061)*10^-3
 |       c__24,12_24,23__32,3_32,17 |        4.8938 |   26.71/(  23 -  1) =   1.21 | F=-8.98(1000)*10^-3
 |        c__24,13_24,24__32,1_32,8 |        4.8872 |   16.88/(  16 -  1) =   1.13 | F=7.14(1538)*10^-3
 |        c__24,10_24,24__32,3_32,9 |        4.8746 |   19.76/(  18 -  1) =   1.16 | F=-2.43(1387)*10^-3
 |      c__24,10_24,24__32,15_32,25 |        4.8711 |   23.97/(  21 -  1) =   1.20 | F=-5.27(1356)*10^-3
 |       c__24,10_24,24__32,4_32,21 |        4.8628 |   33.53/(  28 -  1) =   1.24 | F=-1.04(90)*10^-2
 |       c__24,13_24,24__32,0_32,12 |        4.8607 |   23.99/(  21 -  1) =   1.20 | F=-1.64(98)*10^-2
