 |                       fit_name |       quality |   chisq/nDoF                 |
 |   csnk__24,0_24,22__32,0_32,26 |   1.7749e-140 |  809.64/(  46 -  3) =  18.83 | F=1.219(10); dmf=7.43(23)*10^-2; Ff=-0.782(7)
 |   csnk__24,0_24,22__32,0_32,18 |   1.3245e-140 |  784.26/(  38 -  3) =  22.41 | F=1.207(9); dmf=7.78(25)*10^-2; Ff=-0.777(6)
 |   csnk__24,0_24,22__32,0_32,25 |   5.7717e-141 |  808.83/(  45 -  3) =  19.26 | F=1.219(10); dmf=7.43(23)*10^-2; Ff=-0.781(7)
 |   csnk__24,0_24,22__32,0_32,19 |   2.3935e-141 |  791.16/(  39 -  3) =  21.98 | F=1.210(9); dmf=7.71(24)*10^-2; Ff=-0.779(6)
 |   csnk__24,0_24,22__32,0_32,24 |   1.2878e-141 |  808.78/(  44 -  3) =  19.73 | F=1.219(10); dmf=7.42(23)*10^-2; Ff=-0.781(7)
 |   csnk__24,0_24,22__32,0_32,21 |   3.4587e-142 |  801.80/(  41 -  3) =  21.10 | F=1.214(10); dmf=7.55(24)*10^-2; Ff=-0.779(7)
 |   csnk__24,0_24,22__32,0_32,23 |   2.7935e-142 |  808.76/(  43 -  3) =  20.22 | F=1.219(10); dmf=7.42(23)*10^-2; Ff=-0.781(7)
 |   csnk__24,0_24,22__32,0_32,22 |   1.4074e-142 |  806.95/(  42 -  3) =  20.69 | F=1.218(10); dmf=7.46(23)*10^-2; Ff=-0.781(7)
 |   csnk__24,0_24,22__32,0_32,20 |   7.9775e-143 |  801.58/(  40 -  3) =  21.66 | F=1.214(10); dmf=7.56(24)*10^-2; Ff=-0.779(7)
 |   csnk__24,0_24,22__32,0_32,31 |   2.8051e-143 |  838.91/(  51 -  3) =  17.48 | F=1.201(8); dmf=7.96(20)*10^-2; Ff=-0.780(6)
 |   csnk__24,0_24,22__32,0_32,32 |   1.1229e-157 |  912.05/(  52 -  3) =  18.61 | F=1.172(6); dmf=8.97(17)*10^-2; Ff=-0.781(5)
 |      c2__24,0_24,22__32,0_32,5 |   4.6872e-241 | 1202.35/(  25 -  5) =  60.12 | F=0.401(4); dmf=6.771(0); Ff=4.86(0)*10^2; dmi=5.69(0)*10^-2; Fi=0.883(7)
 |      c2__24,0_24,22__32,0_32,6 |    1.607e-252 | 1260.26/(  26 -  5) =  60.01 | F=0.424(4); dmf=6.412(0); Ff=4.79(0)*10^2; dmi=5.97(0)*10^-2; Fi=0.865(7)
 |      c2__24,0_24,22__32,0_32,7 |   2.0964e-271 | 1352.86/(  27 -  5) =  61.49 | F=0.450(3); dmf=5.840(0); Ff=4.77(0)*10^2; dmi=6.35(0)*10^-2; Fi=0.847(6)
 |      c2__24,0_24,22__32,0_32,8 |   1.9657e-274 | 1371.32/(  28 -  5) =  59.62 | F=0.453(3); dmf=5.855(0); Ff=4.75(0)*10^2; dmi=6.40(0)*10^-2; Fi=0.845(6)
 |      c2__24,0_24,22__32,0_32,9 |   5.0989e-281 | 1406.40/(  29 -  5) =  58.60 | F=0.451(3); dmf=5.454(0); Ff=4.87(0)*10^2; dmi=6.35(0)*10^-2; Fi=0.848(6)
 |     c2__24,0_24,22__32,0_32,11 |   2.1808e-301 | 1510.22/(  31 -  5) =  58.09 | F=0.438(3); dmf=4.487(0); Ff=5.27(0)*10^2; dmi=6.15(0)*10^-2; Fi=0.860(6)
 |     c2__24,0_24,22__32,0_32,12 |   1.0867e-317 | 1590.75/(  32 -  5) =  58.92 | F=0.437(3); dmf=4.295(0); Ff=5.24(0)*10^2; dmi=6.11(0)*10^-2; Fi=0.860(6)
 |       c__24,0_24,22__32,0_32,4 |             0 | 17514.59/(  24 -  1) = 761.50 | F=0.840(2)
