 |           fit_name |       quality |   chisq/nDoF                 |
 |      c__24,8_24,16 |         2.218 |  264.03/(   7 -  1) =  44.01 | F=0.894(3)
 |      c__24,4_24,13 |        2.1787 |  354.78/(   8 -  1) =  50.68 | F=0.966(3)
 |      c__24,4_24,13 |        2.1787 |  354.78/(   8 -  1) =  50.68 | F=0.966(3)
 |      c__24,5_24,16 |        2.1722 |  667.92/(  10 -  1) =  74.21 | F=0.917(2)
 |      c__24,5_24,16 |        2.1722 |  667.92/(  10 -  1) =  74.21 | F=0.917(2)
 |      c__24,8_24,15 |        2.1455 |  182.88/(   6 -  1) =  36.58 | F=0.903(3)
 |      c__24,3_24,11 |        2.1172 |  265.96/(   7 -  1) =  44.33 | F=1.003(3)
 |      c__24,7_24,15 |        2.0985 |  280.97/(   7 -  1) =  46.83 | F=0.913(3)
 |      c__24,6_24,15 |        2.0722 |  395.86/(   8 -  1) =  56.55 | F=0.920(3)
 |      c__24,3_24,12 |        2.0702 |  377.42/(   8 -  1) =  53.92 | F=0.993(3)
 |       c__24,2_24,9 |        2.0666 |  187.47/(   6 -  1) =  37.49 | F=1.041(3)
 |      c__24,8_24,14 |        2.0445 |  115.96/(   5 -  1) =  28.99 | F=0.915(3)
 |      c__24,5_24,15 |        2.0218 |  540.88/(   9 -  1) =  67.61 | F=0.927(2)
 |      c__24,3_24,10 |        2.0141 |  185.78/(   6 -  1) =  37.16 | F=1.015(3)
 |      c__24,5_24,14 |        2.0105 |  392.97/(   8 -  1) =  56.14 | F=0.940(3)
 |      c__24,6_24,14 |        1.9952 |  283.60/(   7 -  1) =  47.27 | F=0.932(3)
 |      c__24,4_24,16 |        1.9895 |  922.48/(  11 -  1) =  92.25 | F=0.925(2)
 |      c__24,4_24,16 |        1.9895 |  922.48/(  11 -  1) =  92.25 | F=0.925(2)
 |      c__24,7_24,14 |        1.9481 |  196.74/(   6 -  1) =  39.35 | F=0.924(3)
 |       c__24,1_24,9 |        1.9125 |  315.55/(   7 -  1) =  52.59 | F=1.056(3)
 |      c__24,4_24,15 |        1.8943 |  752.17/(  10 -  1) =  83.57 | F=0.936(2)
