 |           fit_name |       quality |   chisq/nDoF                 |
 |     c2__24,1_24,11 |     -0.015679 |   20.29/(   9 -  5) =   5.07 | F=5.55(2424)*10^-2; dmf=0.558(478); Ff=-4.87(2168)*10^1; dmi=2.12(52)*10^-2; Fi=1.113(259)
 |     c2__24,3_24,15 |      -0.11396 |    5.02/(  11 -  5) =   0.84 | F=-6.02(7728)*10^-2; dmf=2.873(1910); Ff=3.427(2000); dmi=2.10(159)*10^-2; Fi=1.233(759)
*|     c2__24,5_24,13 |      -0.90967 |    0.13/(   7 -  5) =   0.07 | F=0.652(593); dmf=3.753(482); Ff=-3.96(2237)*10^17; dmi=6.17(1094)*10^-2; Fi=0.539(484)
 |     c2__24,3_24,18 |       -0.9742 |    7.37/(  14 -  5) =   0.82 | F=0.564(420); dmf=0.490(285); Ff=-2.095(3164); dmi=5.04(471)*10^-2; Fi=0.625(391)
*|     c2__24,5_24,14 |       -2.1896 |    0.43/(   8 -  5) =   0.14 | F=0.771(336); dmf=0.689(464); Ff=-7.21(3328)*10^1; dmi=9.07(1323)*10^-2; Fi=0.437(220)
 |     c2__24,0_24,15 |       -3.4907 |    5.77/(  14 -  5) =   0.64 | F=1.003(504); dmf=0.102(193); Ff=-0.478(230); dmi=0.166(154); Fi=0.267(277)
 |     c2__24,2_24,11 |       -3.8233 |    6.69/(   8 -  5) =   2.23 | F=5.66(157)*10^-2; dmf=0.753(687); Ff=-2.80(2457)*10^2; dmi=2.24(22)*10^-2; Fi=1.113(17)
 |     c2__24,1_24,12 |       -6.0643 |   21.42/(  10 -  5) =   4.28 | F=5.58(115)*10^-2; dmf=0.733(575); Ff=-1.36(892)*10^2; dmi=2.20(17)*10^-2; Fi=1.114(13)
 |     c2__24,0_24,11 |       -7.1061 |   35.63/(  10 -  5) =   7.13 | F=5.76(123)*10^-2; dmf=0.824(236); Ff=-2.31(738)*10^3; dmi=2.14(14)*10^-2; Fi=1.114(13)
 |     c2__24,2_24,18 |        -9.156 |    7.71/(  15 -  5) =   0.77 | F=0.804(206); dmf=0.308(206); Ff=-0.984(798); dmi=0.103(78); Fi=0.418(171)
*|     c2__24,3_24,14 |       -10.897 |    0.99/(  10 -  5) =   0.20 | F=1.006(185); dmf=0.213(238); Ff=-1.462(2360); dmi=0.344(401); Fi=0.373(234)
 |     c2__24,1_24,17 |       -17.367 |    7.81/(  15 -  5) =   0.78 | F=0.974(268); dmf=0.152(174); Ff=-0.624(177); dmi=0.197(175); Fi=0.294(166)
 |     c2__24,3_24,19 |       -20.476 |    7.75/(  15 -  5) =   0.77 | F=0.823(232); dmf=0.264(143); Ff=-0.786(233); dmi=0.105(99); Fi=0.393(178)
 |     c2__24,4_24,19 |       -22.155 |    6.81/(  14 -  5) =   0.76 | F=5.13(2293)*10^-3; dmf=0.429(69); Ff=-1.084(390); dmi=2.04(12)*10^-2; Fi=1.151(24)
 |     c2__24,0_24,14 |       -28.158 |    2.35/(  13 -  5) =   0.29 | F=0.798(75); dmf=0.732(414); Ff=-1.15(495)*10^2; dmi=0.106(31); Fi=0.429(67)
*|     c2__24,2_24,14 |       -29.493 |    1.08/(  11 -  5) =   0.18 | F=0.908(125); dmf=0.387(319); Ff=-5.098(14350); dmi=0.181(123); Fi=0.354(76)
 |     c2__24,1_24,18 |       -34.251 |    7.91/(  16 -  5) =   0.72 | F=0.883(148); dmf=0.239(149); Ff=-0.803(387); dmi=0.144(84); Fi=0.361(116)
 |     c2__24,0_24,18 |       -37.995 |    8.43/(  17 -  5) =   0.70 | F=0.796(117); dmf=0.326(154); Ff=-1.079(756); dmi=0.102(39); Fi=0.429(106)
*|     c2__24,1_24,13 |       -40.537 |    1.05/(  11 -  5) =   0.17 | F=0.869(76); dmf=0.617(445); Ff=-5.42(2668)*10^1; dmi=0.151(59); Fi=0.383(55)
 |     c2__24,2_24,19 |       -91.768 |    7.83/(  16 -  5) =   0.71 | F=0.875(143); dmf=0.233(103); Ff=-0.757(158); dmi=0.134(84); Fi=0.360(103)
 |     c2__24,2_24,17 |       -156.97 |    6.47/(  14 -  5) =   0.72 | F=0.385(26); dmf=2.199(286); Ff=-1.30(296)*10^6; dmi=3.78(20)*10^-2; Fi=0.806(26)
 |     c2__24,0_24,19 |       -189.92 |    8.74/(  18 -  5) =   0.67 | F=0.846(95); dmf=0.254(83); Ff=-0.782(178); dmi=0.119(41); Fi=0.382(84)
 |   csnk__24,5_24,19 |       -207.24 |   15.45/(  13 -  3) =   1.55 | F=1.208(55); dmf=7.65(128)*10^-2; Ff=-0.761(27)
 |     c2__24,5_24,18 |       -222.65 |    6.06/(  12 -  5) =   0.87 | F=0.223(25); dmf=0.604(119); Ff=-3.611(2839); dmi=2.77(17)*10^-2; Fi=0.947(27)
*|     c2__24,4_24,14 |       -245.48 |    0.51/(   9 -  5) =   0.13 | F=0.318(33); dmf=1.027(261); Ff=-1.72(484)*10^3; dmi=2.98(26)*10^-2; Fi=0.843(33)
 |     c2__24,1_24,19 |       -259.68 |    7.94/(  17 -  5) =   0.66 | F=0.907(101); dmf=0.214(80); Ff=-0.742(122); dmi=0.157(69); Fi=0.342(74)
*|     c2__24,4_24,13 |       -276.39 |    0.25/(   8 -  5) =   0.08 | F=0.487(23); dmf=2.668(647); Ff=-8.06(6329)*10^11; dmi=4.01(33)*10^-2; Fi=0.681(25)
 |     c2__24,4_24,22 |       -327.67 |    9.22/(  17 -  5) =   0.77 | F=1.021(82); dmf=0.135(26); Ff=-0.674(61); dmi=0.238(179); Fi=0.254(95)
 |     c2__24,3_24,20 |       -502.79 |    8.47/(  16 -  5) =   0.77 | F=0.953(132); dmf=0.174(67); Ff=-0.682(48); dmi=0.186(143); Fi=0.308(52)
 |   csnk__24,5_24,20 |       -542.84 |   17.19/(  14 -  3) =   1.56 | F=1.171(35); dmf=8.73(100)*10^-2; Ff=-0.756(17)
 |     c2__24,0_24,12 |       -556.47 |    2.07/(  11 -  5) =   0.35 | F=0.766(55); dmf=2.03(45)*10^1; Ff=-5.35(164)*10^2; dmi=9.56(200)*10^-2; Fi=0.460(48)
 |     c2__24,3_24,21 |       -685.87 |    9.31/(  17 -  5) =   0.78 | F=1.021(78); dmf=0.138(32); Ff=-0.683(43); dmi=0.270(156); Fi=0.302(79)
 |     c2__24,2_24,20 |       -805.67 |    8.47/(  17 -  5) =   0.71 | F=0.948(105); dmf=0.176(57); Ff=-0.681(41); dmi=0.180(99); Fi=0.309(56)
 |     c2__24,0_24,20 |       -950.18 |    9.73/(  19 -  5) =   0.69 | F=0.907(79); dmf=0.196(49); Ff=-0.671(45); dmi=0.144(45); Fi=0.330(65)
 |   csnk__24,5_24,21 |        -982.5 |   17.77/(  15 -  3) =   1.48 | F=1.156(26); dmf=9.23(76)*10^-2; Ff=-0.755(14)
 |     c2__24,3_24,22 |       -1054.2 |    9.46/(  18 -  5) =   0.73 | F=1.040(54); dmf=0.129(19); Ff=-0.689(38); dmi=0.302(145); Fi=0.310(103)
 |     c2__24,2_24,13 |       -1368.4 |    3.04/(  10 -  5) =   0.61 | F=-0.153(32); dmf=1.18(4029788)*10^-6; Ff=0.812(32); dmi=6.76(76)*10^-2; Fi=0.549(32)
 |     c2__24,3_24,12 |       -1553.2 |    1.09/(   8 -  5) =   0.36 | F=-0.206(35); dmf=1.93(288778)*10^-5; Ff=0.951(35); dmi=8.65(140)*10^-2; Fi=0.470(43)
 |     c2__24,0_24,21 |       -1609.9 |   11.21/(  20 -  5) =   0.75 | F=0.955(69); dmf=0.161(32); Ff=-0.641(33); dmi=0.167(49); Fi=0.291(51)
 |   csnk__24,5_24,22 |       -1642.7 |   19.29/(  16 -  3) =   1.48 | F=1.139(19); dmf=9.83(59)*10^-2; Ff=-0.754(12)
 |     c2__24,1_24,20 |       -1741.1 |    8.49/(  18 -  5) =   0.65 | F=0.959(76); dmf=0.171(44); Ff=-0.683(36); dmi=0.192(70); Fi=0.306(47)
 |     c2__24,3_24,23 |         -1813 |    9.80/(  19 -  5) =   0.70 | F=1.058(37); dmf=0.122(12); Ff=-0.698(30); dmi=0.342(140); Fi=0.326(130)
 |     c2__24,2_24,21 |       -1975.9 |    9.42/(  18 -  5) =   0.72 | F=1.005(73); dmf=0.143(31); Ff=-0.672(39); dmi=0.232(102); Fi=0.283(33)
 |   csnk__24,5_24,23 |       -2543.4 |   20.19/(  17 -  3) =   1.44 | F=1.129(15); dmf=0.102(5); Ff=-0.752(11)
 |     c2__24,3_24,24 |       -2620.3 |   10.32/(  20 -  5) =   0.69 | F=1.040(34); dmf=0.129(10); Ff=-0.686(30); dmi=0.297(115); Fi=0.303(93)
 |     c2__24,0_24,22 |       -2867.7 |   11.69/(  21 -  5) =   0.73 | F=0.982(54); dmf=0.147(21); Ff=-0.645(34); dmi=0.185(46); Fi=0.272(37)
 |   csnk__24,5_24,24 |       -3239.5 |   26.79/(  18 -  3) =   1.79 | F=1.110(11); dmf=0.109(4); Ff=-0.747(9)
 |     c2__24,2_24,22 |         -3273 |    9.64/(  19 -  5) =   0.69 | F=1.026(52); dmf=0.134(19); Ff=-0.678(36); dmi=0.258(93); Fi=0.278(35)
 |     c2__24,1_24,21 |       -3297.7 |    9.43/(  19 -  5) =   0.67 | F=1.000(61); dmf=0.145(27); Ff=-0.669(32); dmi=0.224(72); Fi=0.282(33)
 |     c2__24,0_24,13 |       -3603.6 |    3.97/(  12 -  5) =   0.57 | F=-0.211(29); dmf=5.12(23411976)*10^-7; Ff=0.915(29); dmi=7.89(80)*10^-2; Fi=0.516(28)
 |     c2__24,2_24,23 |       -4883.5 |   10.11/(  20 -  5) =   0.67 | F=1.047(38); dmf=0.125(12); Ff=-0.688(30); dmi=0.288(89); Fi=0.275(42)
 |     c2__24,0_24,23 |       -6041.7 |   12.42/(  22 -  5) =   0.73 | F=1.010(40); dmf=0.135(13); Ff=-0.656(32); dmi=0.204(44); Fi=0.253(26)
 |     c2__24,1_24,22 |       -6082.2 |    9.70/(  20 -  5) =   0.65 | F=1.019(47); dmf=0.136(18); Ff=-0.673(31); dmi=0.242(67); Fi=0.273(26)
 |     c2__24,2_24,24 |       -7207.7 |   10.49/(  21 -  5) =   0.66 | F=1.032(33); dmf=0.131(10); Ff=-0.678(29); dmi=0.263(76); Fi=0.275(36)
 |     c2__24,0_24,24 |        -10174 |   12.48/(  23 -  5) =   0.69 | F=1.004(34); dmf=0.137(10); Ff=-0.653(29); dmi=0.200(40); Fi=0.257(22)
 |     c2__24,1_24,23 |        -10811 |   10.26/(  21 -  5) =   0.64 | F=1.039(36); dmf=0.127(12); Ff=-0.681(28); dmi=0.264(64); Fi=0.263(22)
*|     c2__24,5_24,12 |        -12968 |    0.03/(   6 -  5) =   0.03 | F=-3.734(38); dmf=1.256(671); Ff=9.51(8215)*10^4; dmi=4.49(56)*10^-3; Fi=4.888(39)
 |     c2__24,1_24,24 |        -16215 |   10.57/(  22 -  5) =   0.62 | F=1.027(31); dmf=0.132(9); Ff=-0.674(27); dmi=0.249(56); Fi=0.267(20)
 |     c2__24,4_24,16 |        -18087 |    3.53/(  11 -  5) =   0.59 | F=-3.025(30); dmf=2.786(1902); Ff=3.427(1997); dmi=5.22(18)*10^-3; Fi=4.178(30)
*|   csnk__24,5_24,11 |        -21403 |    0.06/(   5 -  3) =   0.03 | F=3.294(50); dmf=8.95(88)*10^-3; Ff=-2.668(53)
*|   csrc__24,4_24,11 |        -49610 |    0.06/(   6 -  3) =   0.02 | F=-2.277(43); dmi=6.28(53)*10^-3; Fi=3.426(44)
 |     c2__24,5_24,15 |        -64700 |    3.43/(   9 -  5) =   0.86 | F=-9.163(32); dmf=3.231(1925); Ff=3.427(1997); dmi=2.06(9)*10^-3; Fi=1.03(0)*10^1
 |     c2__24,0_24,17 |    -1.596e+05 |   24.24/(  16 -  5) =   2.20 | F=4.10(19)*10^-2; dmf=5.884(1399); Ff=-7.32(14)*10^1; dmi=2.54(2)*10^-2; Fi=1.156(2)
 |     c2__24,4_24,15 |   -2.0483e+05 |    3.43/(  10 -  5) =   0.69 | F=-1.36(0)*10^1; dmf=2.832(1905); Ff=3.427(1997); dmi=1.43(5)*10^-3; Fi=1.47(0)*10^1
 |     c2__24,2_24,12 |   -2.2851e+05 |    0.83/(   9 -  5) =   0.21 | F=8.236(31); dmf=2.33(27)*10^-3; Ff=-7.538(32); dmi=0.422(196); Fi=0.193(90)
 |     c2__24,4_24,17 |    -2.304e+05 |   18.53/(  12 -  5) =   2.65 | F=7.58(21)*10^-2; dmf=5.243(1395); Ff=-1.21(1)*10^2; dmi=2.53(2)*10^-2; Fi=1.107(3)
 |     c2__24,3_24,13 |   -2.3359e+05 |    2.72/(   9 -  5) =   0.68 | F=4.67(27)*10^-2; dmf=2.05(14)*10^1; Ff=-1.02(1)*10^2; dmi=2.30(3)*10^-2; Fi=1.124(3)
 |     c2__24,1_24,15 |   -4.8024e+05 |   12.44/(  13 -  5) =   1.55 | F=4.33(21)*10^-2; dmf=1.31(14)*10^1; Ff=-2.25(1)*10^2; dmi=2.45(3)*10^-2; Fi=1.146(3)
 |   csnk__24,5_24,16 |   -6.7353e+05 |    3.60/(  10 -  3) =   0.51 | F=2.83(0)*10^1; dmf=7.54(28)*10^-4; Ff=-2.77(0)*10^1
*|     c2__24,4_24,12 |   -7.1966e+05 |    0.05/(   7 -  5) =   0.02 | F=-2.05(0)*10^1; dmf=1.649(926); Ff=1.31(1601)*10^7; dmi=9.65(79)*10^-4; Fi=2.16(0)*10^1
*|   csnk__24,5_24,12 |   -1.0398e+06 |    0.41/(   6 -  3) =   0.14 | F=3.41(0)*10^1; dmf=5.95(46)*10^-4; Ff=-3.35(0)*10^1
